wordA,wordB,wordC,wordD,mean_rating,num_ratings
fruit,grape,song,opera,6.65,20
song,opera,rodent,mouse,5.65,20
fruit,grape,rodent,mouse,3.2,20
planet,Earth,state,Virginia,6.2,20
state,Virginia,country,Egypt,5.75,20
planet,Earth,country,Egypt,3.55,20
dog,tail,fish,fin,5.5,20
fish,fin,city,block,3.95,20
dog,tail,city,block,2.3,20
flock,sheep,album,songs5.55,20
album,songs,paragraph,word6.35,20
flock,sheep,paragraph,word2.45,20
bathroom,restroom,old,mature,5.95,20
old,mature,pants,trousers,4.9,20
bathroom,restroom,pants,trousers,3.05,20
movie,film,affection,love,6.3,20
affection,love,shriek,scream,5.35,20
movie,film,shriek,scream,3.35,20
big,small,ugly,pretty,5.15,20
ugly,pretty,dull,bright,4.95,20
big,small,dull,bright,2.75,20
despair,joy,verbose,silent,3.75,20
verbose,silent,peace,war,5.4,20
despair,joy,peace,war,3.7,20
blanket,soft,dog,furry,6.35,20
dog,furry,fire,hot,5.75,20
blanket,soft,fire,hot,3.35,20
baby,helpless,child,youth,5.8,20
child,youth,nun,chastity,5.8,20
baby,helpless,nun,chastity,2.65,20
fire,cold,baby,mature,3.9,20
baby,mature,liar,honest,5.4,20
fire,cold,liar,honest,2.5,20
hairdresser,comb,gardener,shovel,4.2,20
gardener,shovel,musician,instrument,5.95,20
hairdresser,comb,musician,instrument,3.0,20
